タイムスタンプ,あなたはArsenalを見始めてどの程度ですか？,観戦会に参加されたことはありますか？,ちなみにどの観戦会に参加されましたか？,また参加したいですか？,観戦会に参加された方に聞きます。観戦会の感想をお聞かせください。できれば良かった、悪かった両方を教えてください。,どのようにアーセナルの情報を集められていますか？,"お勧めのサイトやTwitterアカウントなどありますか？( 複数回答可, 複数回答の際はアカウントごとに"",""か""、""で区切ってください)",グーナー(アーセナルファン)の集まり(観戦会を除く)に参加したことがある,参加したことがある方に質問します。どのような集まりに参加されましたか？,このようなコミュニティや集まりがあれば参加したいなどご意見があればお願いします。,観戦会に参加されたことがない方に質問します。観戦会に参加しずらいと感じたことはありますか？,こうしてくれると参加しやすいなど、観戦会参加しにくいと感じたことがあればご記入ください,その他、何かコメントやご意見があればお願いします。,,これらのアカウントをお勧めする理由を教えてください。
2022/02/06 15:28:42,10年以上(!?),ある,"イビナイ(東北), ガナナイ(新潟), バッカスナイト(東京 池袋), Gooners Night (東京 新宿御苑), The Armoury Night (愛知 名古屋), The Highbury (京都), ハイナイ (大阪), オイナイ(広島), クマナイ(熊本), 桃太郎Night",参加したい,床に寝てた記憶だけあります。関西グーナーは怖いです。,"ニュースサイト, ブログ, 掲示板, Twitter",クラウザー18世って、Twitterのアカウント。観戦会でドンペリ振る舞うって話で、一度会ってみたい。,ある,名古屋に、宮崎のグーナーが来て、関東関西色んなとこから、集まった。,ドンペリ振る舞いたい。,,,,,
2022/02/06 15:29:55,10年以上(!?),ない,,,,"ニュースサイト, Twitter",,ない,,,ない,,,,
2022/02/06 15:30:27,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, ブログ, Twitter",,ない,,,ある,,,,
2022/02/06 15:41:36,10年以上(!?),ない,,,,"ニュースサイト, ブログ, Twitter",グナ島さん,ない,,,ある,,,,
2022/02/06 15:52:13,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, Twitter, インスタ",,ない,,,ある,観戦会の写真等たくさんあげて貰えれば雰囲気等わかるかなと,,,
2022/02/06 15:56:59,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,Twitter,,ない,,,ある,,,,
2022/02/06 16:07:10,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, ブログ, Twitter",,ない,,,ある,,,,
2022/02/06 16:11:00,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,"ブログ, Twitter","ArsenalChan
グナ島
らかぺまる
",ない,,,ある,,,,
2022/02/06 16:26:02,10年以上(!?),ない,,,,"ニュースサイト, ブログ, Twitter",,ない,,,ある,,,,
2022/02/06 16:31:56,10年以上(!?),ない,,,,"ニュースサイト, Twitter, インスタ",英語版のオフィシャルやプレミアアプリ等,ない,,試合観戦や実際にエンジョイでサッカーやフットサル,ない,,,,
